Lambda,EPW 3w No Grating,Lambda QE,QE,Total (Notmalized to 300nm)
190,0.001062367,156.8085953,0.012516332,0.117
191,0.000718037,155.7828363,0.014207672,0.0819
192,2.92566E-06,158.9344089,0.015874062,0.0003
193,1.92648E-05,159.9937208,0.017457115,0.0023
194,0.000245417,162.1087496,0.020616749,0.0308
195,0.000280522,164.2129936,0.02267277,0.0362
196,0.000496151,165.2747021,0.025332014,0.0655
197,0.000704902,167.3801444,0.028079831,0.0954
198,0.000437878,169.4855866,0.03112571,0.0607
199,0.000936888,171.5910289,0.034501981,0.1328
200,0.001488315,174.7426016,0.03854865,0.2158
201,0.001279174,176.8456472,0.042058445,0.1908
202,0.000969223,179.9960216,0.046620613,0.1486
203,0.001905461,185.247045,0.055496559,0.3001
204,0.002333419,189.448343,0.06400187,0.3772
205,0.002817998,193.649641,0.07381069,0.4673
206,0.003239783,199.9420015,0.085799793,0.5507
207,0.004590501,206.2367586,0.101329044,0.7951
208,0.002261974,214.6165866,0.1159365,0.3984
209,0.002058058,221.9466893,0.128512376,0.3686
210,0.002441933,230.3205257,0.141328373,0.4445
211,0.002461481,242.8824787,0.164284402,0.4553
212,0.003089093,253.3473776,0.182104677,0.5805
213,0.002516692,262.7649478,0.198685026,0.4803
214,0.00312658,278.4593004,0.227327186,0.6059
215,0.003049135,293.101531,0.248024974,0.5998
216,0.003048473,306.6976312,0.268472052,0.6085
217,0.003366664,323.4285276,0.290604779,0.6818
218,0.003400224,343.2954186,0.317063894,0.6984
219,0.003369951,367.3420379,0.34593207,0.7019
220,0.004261049,391.3874589,0.37445057,0.8999
221,0.004020339,417.522744,0.405320122,0.8607
222,0.003951256,439.4759042,0.431838244,0.8573
223,0.004417624,460.3769425,0.438734549,0.9699
224,0.00375634,482.3229128,0.445740985,0.8344
225,0.003575392,502.1766223,0.445740985,0.8034
226,0.00321341,525.1603348,0.431838244,0.7304
227,0.003041164,541.8768514,0.425050339,0.6991
228,0.004150895,557.544841,0.408543714,0.9649
229,0.004020719,576.3488252,0.395801161,0.945
230,0.004545702,598.278019,0.359908962,1.0801
231,0.003979874,622.2946804,0.322127293,0.9573
232,0.004202483,637.9494886,0.283779913,1.0238
233,0.004045742,658.8265604,0.246067947,0.9981
234,0.004126,673.4364365,0.21677499,1.0306
235,0.004658298,690.1301851,0.183552992,1.178
236,0.004616364,701.6028683,0.159160342,1.1816
237,0.004140814,714.1168886,0.134768116,1.0726
238,0.004819026,724.5422431,0.115021709,1.2632
239,0.004962009,734.9699942,0.09973629,1.316
240,0.004069716,743.3030878,0.083784781,1.0919
241,0.004517907,748.5073768,0.073228291,1.226
242,0.004901889,756.8356772,0.059597681,1.3454
243,0.004678498,764.1178472,0.048121532,1.2984
244,0.004489454,781.8050003,0.028983843,1.2588
245,0.00449571,792.2099834,0.021620333,1.2735
246,0.00394959,797.393901,0.016515431,1.1301
247,0.003851659,808.8402213,0.012030266,1.1132
248,0.004031388,814.0409153,0.010267575,1.1767
249,0.004301972,823.399768,0.007598606,1.268
250,0.004702359,829.6310144,0.00589715,1.3995
251,0.004394973,,,1.3207
